sample_name,source_name,Strain,sex,age
DGRP_Line_790_Male_SAMN22426960,DGRP Line 790 Male,DGRP_790,male,adult
DGRP_Line_799_Female_SAMN22426961,DGRP Line 799 Female,DGRP_799,female,adult
DGRP_Line_799_Female_SAMN22426962,DGRP Line 799 Female,DGRP_799,female,adult
DGRP_Line_799_Male_SAMN22426963,DGRP Line 799 Male,DGRP_799,male,adult
DGRP_Line_799_Male_SAMN22426964,DGRP Line 799 Male,DGRP_799,male,adult
DGRP_Line_801_Female_SAMN22426965,DGRP Line 801 Female,DGRP_801,female,adult
DGRP_Line_801_Female_SAMN22426966,DGRP Line 801 Female,DGRP_801,female,adult
DGRP_Line_801_Male_SAMN22426967,DGRP Line 801 Male,DGRP_801,male,adult
DGRP_Line_801_Male_SAMN22426968,DGRP Line 801 Male,DGRP_801,male,adult
DGRP_Line_804_Female_SAMN22426969,DGRP Line 804 Female,DGRP_804,female,adult
DGRP_Line_804_Female_SAMN22426970,DGRP Line 804 Female,DGRP_804,female,adult
DGRP_Line_804_Male_SAMN22426971,DGRP Line 804 Male,DGRP_804,male,adult
DGRP_Line_804_Male_SAMN22426972,DGRP Line 804 Male,DGRP_804,male,adult
DGRP_Line_805_Female_SAMN22426973,DGRP Line 805 Female,DGRP_805,female,adult
DGRP_Line_805_Female_SAMN22426974,DGRP Line 805 Female,DGRP_805,female,adult
DGRP_Line_805_Male_SAMN22426975,DGRP Line 805 Male,DGRP_805,male,adult
DGRP_Line_805_Male_SAMN22426976,DGRP Line 805 Male,DGRP_805,male,adult
DGRP_Line_808_Female_SAMN22426977,DGRP Line 808 Female,DGRP_808,female,adult
DGRP_Line_808_Female_SAMN22426978,DGRP Line 808 Female,DGRP_808,female,adult
DGRP_Line_808_Male_SAMN22427171,DGRP Line 808 Male,DGRP_808,male,adult
DGRP_Line_808_Male_SAMN22427172,DGRP Line 808 Male,DGRP_808,male,adult
DGRP_Line_820_Female_SAMN22427173,DGRP Line 820 Female,DGRP_820,female,adult
DGRP_Line_820_Female_SAMN22427174,DGRP Line 820 Female,DGRP_820,female,adult
DGRP_Line_820_Male_SAMN22427175,DGRP Line 820 Male,DGRP_820,male,adult
DGRP_Line_820_Male_SAMN22427176,DGRP Line 820 Male,DGRP_820,male,adult
DGRP_Line_822_Female_SAMN22427177,DGRP Line 822 Female,DGRP_822,female,adult
DGRP_Line_822_Female_SAMN22427178,DGRP Line 822 Female,DGRP_822,female,adult
DGRP_Line_822_Male_SAMN22427179,DGRP Line 822 Male,DGRP_822,male,adult
DGRP_Line_822_Male_SAMN22427180,DGRP Line 822 Male,DGRP_822,male,adult
DGRP_Line_837_Female_SAMN22427183,DGRP Line 837 Female,DGRP_837,female,adult
DGRP_Line_837_Female_SAMN22427184,DGRP Line 837 Female,DGRP_837,female,adult
DGRP_Line_837_Male_SAMN22427185,DGRP Line 837 Male,DGRP_837,male,adult
DGRP_Line_837_Male_SAMN22427186,DGRP Line 837 Male,DGRP_837,male,adult
DGRP_Line_83_Female_SAMN22427187,DGRP Line 83 Female,DGRP_83,female,adult
DGRP_Line_83_Female_SAMN22427188,DGRP Line 83 Female,DGRP_83,female,adult
DGRP_Line_83_Male_SAMN22427189,DGRP Line 83 Male,DGRP_83,male,adult
DGRP_Line_83_Male_SAMN22427181,DGRP Line 83 Male,DGRP_83,male,adult
DGRP_Line_843_Female_SAMN22427182,DGRP Line 843 Female,DGRP_843,female,adult
DGRP_Line_843_Female_SAMN22427190,DGRP Line 843 Female,DGRP_843,female,adult
DGRP_Line_843_Male_SAMN22427191,DGRP Line 843 Male,DGRP_843,male,adult
DGRP_Line_843_Male_SAMN22427192,DGRP Line 843 Male,DGRP_843,male,adult
DGRP_Line_849_Female_SAMN22427193,DGRP Line 849 Female,DGRP_849,female,adult
DGRP_Line_849_Female_SAMN22427194,DGRP Line 849 Female,DGRP_849,female,adult
DGRP_Line_849_Male_SAMN22427195,DGRP Line 849 Male,DGRP_849,male,adult
DGRP_Line_849_Male_SAMN22427196,DGRP Line 849 Male,DGRP_849,male,adult
DGRP_Line_850_Female_SAMN22427197,DGRP Line 850 Female,DGRP_850,female,adult
DGRP_Line_850_Female_SAMN22427232,DGRP Line 850 Female,DGRP_850,female,adult
DGRP_Line_850_Male_SAMN22427233,DGRP Line 850 Male,DGRP_850,male,adult
DGRP_Line_850_Male_SAMN22427234,DGRP Line 850 Male,DGRP_850,male,adult
DGRP_Line_852_Female_SAMN22427235,DGRP Line 852 Female,DGRP_852,female,adult
DGRP_Line_852_Female_SAMN22427236,DGRP Line 852 Female,DGRP_852,female,adult
DGRP_Line_852_Male_SAMN22427237,DGRP Line 852 Male,DGRP_852,male,adult
DGRP_Line_852_Male_SAMN22427238,DGRP Line 852 Male,DGRP_852,male,adult
DGRP_Line_882_Female_SAMN22427239,DGRP Line 882 Female,DGRP_882,female,adult
DGRP_Line_882_Female_SAMN22427240,DGRP Line 882 Female,DGRP_882,female,adult
DGRP_Line_882_Male_SAMN22427241,DGRP Line 882 Male,DGRP_882,male,adult
DGRP_Line_882_Male_SAMN22427198,DGRP Line 882 Male,DGRP_882,male,adult
DGRP_Line_890_Female_SAMN22427199,DGRP Line 890 Female,DGRP_890,female,adult
DGRP_Line_890_Female_SAMN22427200,DGRP Line 890 Female,DGRP_890,female,adult
DGRP_Line_890_Male_SAMN22427201,DGRP Line 890 Male,DGRP_890,male,adult
DGRP_Line_890_Male_SAMN22427202,DGRP Line 890 Male,DGRP_890,male,adult
DGRP_Line_897_Female_SAMN22428083,DGRP Line 897 Female,DGRP_897,female,adult
DGRP_Line_897_Female_SAMN22428085,DGRP Line 897 Female,DGRP_897,female,adult
DGRP_Line_897_Male_SAMN22428086,DGRP Line 897 Male,DGRP_897,male,adult
DGRP_Line_897_Male_SAMN22428088,DGRP Line 897 Male,DGRP_897,male,adult
DGRP_Line_900_Female_SAMN22428089,DGRP Line 900 Female,DGRP_900,female,adult
DGRP_Line_900_Female_SAMN22428090,DGRP Line 900 Female,DGRP_900,female,adult
DGRP_Line_900_Male_SAMN22428091,DGRP Line 900 Male,DGRP_900,male,adult
DGRP_Line_900_Male_SAMN22428092,DGRP Line 900 Male,DGRP_900,male,adult
DGRP_Line_911_Female_SAMN22428093,DGRP Line 911 Female,DGRP_911,female,adult
DGRP_Line_911_Female_SAMN22428094,DGRP Line 911 Female,DGRP_911,female,adult
DGRP_Line_911_Male_SAMN22428095,DGRP Line 911 Male,DGRP_911,male,adult
DGRP_Line_911_Male_SAMN22427243,DGRP Line 911 Male,DGRP_911,male,adult
DGRP_Line_427_Male_SAMN22426985,DGRP Line 427 Male,DGRP_427,male,adult
DGRP_Line_765_Male_SAMN22427165,DGRP Line 765 Male,DGRP_765,male,adult
