sample_name,source_name,Strain,sex,age
DGRP_Line_306_Male_SAMN22427042,DGRP Line 306 Male,DGRP_306,male,adult
DGRP_Line_306_Male_SAMN22427045,DGRP Line 306 Male,DGRP_306,male,adult
DGRP_Line_313_Female_SAMN22427046,DGRP Line 313 Female,DGRP_313,female,adult
DGRP_Line_313_Female_SAMN22427047,DGRP Line 313 Female,DGRP_313,female,adult
DGRP_Line_313_Male_SAMN22427048,DGRP Line 313 Male,DGRP_313,male,adult
DGRP_Line_313_Male_SAMN22427049,DGRP Line 313 Male,DGRP_313,male,adult
DGRP_Line_315_Female_SAMN22427050,DGRP Line 315 Female,DGRP_315,female,adult
DGRP_Line_315_Female_SAMN22427043,DGRP Line 315 Female,DGRP_315,female,adult
DGRP_Line_315_Male_SAMN22427044,DGRP Line 315 Male,DGRP_315,male,adult
DGRP_Line_315_Male_SAMN22427051,DGRP Line 315 Male,DGRP_315,male,adult
DGRP_Line_318_Female_SAMN22427052,DGRP Line 318 Female,DGRP_318,female,adult
DGRP_Line_318_Female_SAMN22427053,DGRP Line 318 Female,DGRP_318,female,adult
DGRP_Line_318_Male_SAMN22427054,DGRP Line 318 Male,DGRP_318,male,adult
DGRP_Line_318_Male_SAMN22427055,DGRP Line 318 Male,DGRP_318,male,adult
DGRP_Line_320_Female_SAMN22426829,DGRP Line 320 Female,DGRP_320,female,adult
DGRP_Line_320_Female_SAMN22426830,DGRP Line 320 Female,DGRP_320,female,adult
DGRP_Line_320_Male_SAMN22426831,DGRP Line 320 Male,DGRP_320,male,adult
DGRP_Line_320_Male_SAMN22426833,DGRP Line 320 Male,DGRP_320,male,adult
DGRP_Line_324_Female_SAMN22426834,DGRP Line 324 Female,DGRP_324,female,adult
DGRP_Line_324_Female_SAMN22426836,DGRP Line 324 Female,DGRP_324,female,adult
DGRP_Line_324_Male_SAMN22426838,DGRP Line 324 Male,DGRP_324,male,adult
DGRP_Line_324_Male_SAMN22426840,DGRP Line 324 Male,DGRP_324,male,adult
DGRP_Line_335_Female_SAMN22426841,DGRP Line 335 Female,DGRP_335,female,adult
